intro,name,points,rank
,,,
希望让人自由。,肖申克的救赎,9.6,1
,,,
风华绝代。,霸王别姬,9.5,2
,,,
怪蜀黍和小萝莉不得不说的故事。,这个杀手不太冷,9.4,3
,,,
一部美国近现代史。,阿甘正传,9.4,4
,,,
最美的谎言。,美丽人生,9.5,5
,,,
失去的才是永恒的。 ,泰坦尼克号,9.3,6
,,,
最好的宫崎骏，最好的久石让。 ,千与千寻,9.3,7
,,,
拯救一个人，就是拯救整个世界。,辛德勒的名单,9.4,8
,,,
诺兰给了我们一场无法盗取的梦。,盗梦空间,9.3,9
,,,
小瓦力，大人生。,机器人总动员,9.3,10
,,,
英俊版憨豆，高情商版谢耳朵。,三傻大闹宝莱坞,9.2,11
,,,
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,海上钢琴师,9.2,12
,,,
永远都不能忘记你所爱的人。,忠犬八公的故事,9.2,13
,,,
天籁一般的童声，是最接近上帝的存在。 ,放牛班的春天,9.2,14
,,,
一生所爱。,大话西游之大圣娶亲,9.2,15
,,,
如果再也不能见到你，祝你早安，午安，晚安。,楚门的世界,9.1,16
,,,
人人心中都有个龙猫，童年就永远不会消失。,龙猫,9.1,17
,,,
千万不要记恨你的对手，这样会让你失去理智。,教父,9.2,18
,,,
爱是一种力量，让我们超越时空感知它的存在。,星际穿越,9.2,19
,,,
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,熔炉,9.2,20
,,,
满满温情的高雅喜剧。,触不可及,9.2,21
,,,
Tomorrow is another day.,乱世佳人,9.2,22
,,,
香港电影史上永不过时的杰作。,无间道,9.1,23
,,,
平民励志片。 ,当幸福来敲门,8.9,24
,,,
真正的幸福是来自内心深处。,怦然心动,8.9,25
,,,
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,天堂电影院,9.1,26
,,,
1957年的理想主义。 ,十二怒汉,9.4,27
,,,
瑰丽壮观、无人能及的冒险之旅。,少年派的奇幻漂流,9,28
,,,
无尽的黑暗。,蝙蝠侠：黑暗骑士,9.1,29
,,,
对敌人的仁慈，就是对自己残忍。,鬼子来了,9.2,30
,,,
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,搏击俱乐部,9,31
,,,
张艺谋最好的电影。,活着,9.1,32
,,,
史诗的终章。,指环王3：王者无敌,9.1,33
,,,
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,疯狂动物城,9.1,34
,,,
对天空的追逐，永不停止。 ,天空之城,9,35
,,,
旷古烁今。,大话西游之月光宝盒,8.9,36
,,,
爱情哪怕只有一天。,罗马假日,8.9,37
,,,
最后那些最无聊的事情，才是最值得怀念的。 ,飞屋环游记,8.9,38
,,,
比利·怀德满分作品。,控方证人,9.6,39
,,,
别样人生。,窃听风暴,9.1,40
,,,
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,两杆大烟枪,9.1,41
,,,
自由万岁。,飞越疯人院,9,42
,,,
史上最美的探戈。,闻香识女人,8.9,43
,,,
带着心爱的人在天空飞翔。,哈尔的移动城堡,8.9,44
,,,
电影的现实意义大过电影本身。,辩护人,9.1,45
,,,
海豚的微笑，是世界上最高明的伪装。,海豚湾,9.3,46
,,,
一张面具背后的理想与革命。,V字仇杀队,8.8,47
,,,
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,死亡诗社,9,48
,,,
优雅的孤独。,教父2,9.1,49
,,,
爱是一切逻辑和原由。,美丽心灵,8.9,50
,,,
承前启后的史诗篇章。,指环王2：双塔奇兵,9,51
,,,
传说的开始。,指环王1：魔戒再现,8.9,52
,,,
人生不能像做菜，把所有的料都准备好了才下锅。,饮食男女,9.1,53
,,,
暗恋的极致。,情书,8.8,54
,,,
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,摔跤吧！爸爸,9.1,55
,,,
往事如烟，无处祭奠。,美国往事,9.1,56
,,,
动物版《哈姆雷特》。,狮子王,8.9,57
,,,
音乐能化解仇恨。,钢琴家,9,58
,,,
